#Node Time X Y
0 0.0 106.97438436898875 503.27689608955865
0 2.0 150.32832754792872 558.2353859781759
0 4.0 193.6822707268687 613.1938758667932
0 6.0 237.03621390580867 668.1523657554103
0 8.0 280.3901570847487 723.1108556440277
0 10.0 323.74410026368867 778.0693455326449
0 12.0 367.09804344262864 833.0278354212621
0 14.0 410.4519866215686 887.9863253098794
0 16.0 400.961574245392 920.3282297000856
0 18.0 331.27126148981165 926.9054865773413
0 20.0 261.5809487342313 933.482743454597
0 22.0 191.89063597865092 940.0600003318525
0 24.0 122.20032322307058 946.6372572091082
0 26.0 52.51001046749023 953.2145140863639
0 28.0 12.710093065684363 959.369879983535
0 30.0 64.26741412132823 964.2357749849743
0 32.0 115.8247351769721 969.1016699864135
0 34.0 167.38205623261595 973.9675649878527
0 36.0 218.93937728825983 978.8334599892919
0 38.0 270.4966983439037 983.6993549907311
0 40.0 322.05401939954754 988.5652499921703
0 42.0 373.6113404551914 993.4311449936095
0 44.0 425.16866151083525 998.2970399950486
0 46.0 476.7259825664791 1003.1629349964878
0 48.0 515.2536504513249 1019.9414748587194
0 50.0 513.957384338183 1073.1299157719557
0 52.0 512.661118225041 1126.3183566851917
0 54.0 511.3648521118992 1179.5067975984277
0 56.0 510.0685859987573 1232.6952385116638
0 58.0 508.7723198856154 1285.8836794249
0 60.0 507.4760537724735 1339.072120338136
0 62.0 506.1797876593316 1392.260561251372
0 64.0 504.8835215461896 1445.4490021646081
0 66.0 503.5872554330478 1498.6374430778442
0 68.0 514.636593062557 1541.644008030799
0 70.0 563.4191306604686 1553.5306075554565
0 72.0 612.2016682583801 1565.4172070801142
0 74.0 660.9842058562915 1577.3038066047716
0 76.0 709.7667434542032 1589.1904061294294
0 78.0 758.5492810521146 1601.0770056540869
0 80.0 807.331818650026 1612.9636051787443
0 82.0 856.1143562479374 1624.850204703402
0 84.0 904.8968938458489 1636.7368042280593
0 86.0 953.6794314437604 1648.623403752717
0 88.0 982.1806430081996 1648.426265001985
0 90.0 948.693850842898 1611.2962939478907
0 92.0 915.2070586775963 1574.1663228937962
0 94.0 881.7202665122945 1537.0363518397019
0 96.0 848.2334743469928 1499.9063807856076
0 98.0 814.7466821816911 1462.776409731513
0 100.0 781.2598900163894 1425.6464386774187
0 102.0 747.7730978510878 1388.5164676233244
0 104.0 714.286305685786 1351.3864965692298
0 106.0 680.7995135204843 1314.2565255151355
0 108.0 667.8772027048637 1285.6332398552017
0 110.0 717.808333745085 1283.0098540573722
0 112.0 767.7394647853062 1280.3864682595427
0 114.0 817.6705958255275 1277.7630824617133
0 116.0 867.6017268657488 1275.139696663884
0 118.0 917.53285790597 1272.5163108660545
0 120.0 967.4639889461912 1269.892925068225
0 122.0 1017.3951199864125 1267.2695392703954
0 124.0 1067.3262510266336 1264.6461534725659
0 126.0 1117.257382066855 1262.0227676747363
0 128.0 1155.484379145547 1272.3574253780696
0 130.0 1157.938769518777 1322.2971487242776
0 132.0 1160.3931598920071 1372.2368720704858
0 134.0 1162.847550265237 1422.1765954166935
0 136.0 1165.3019406384672 1472.1163187629018
0 138.0 1167.756331011697 1522.0560421091097
0 140.0 1170.210721384927 1571.995765455318
0 142.0 1172.6651117581569 1621.935488801526
0 144.0 1175.119502131387 1671.875212147734
0 146.0 1177.5738925046167 1721.814935493942
0 148.0 1184.489907574434 1773.909203678313
0 150.0 1205.0424673098369 1832.5886395801956
0 152.0 1225.59502704524 1891.268075482078
0 154.0 1246.147586780643 1949.9475113839605
0 156.0 1266.1761029711552 1992.8692449159118
0 158.0 1283.1641828757065 1944.366724612417
0 160.0 1300.1522627802576 1895.8642043089224
0 162.0 1317.1403426848087 1847.3616840054276
0 164.0 1334.12842258936 1798.859163701933
0 166.0 1351.1165024939112 1750.3566433984383
0 168.0 1368.1045823984623 1701.8541230949436
0 170.0 1385.0926623030136 1653.3516027914488
0 172.0 1402.0807422075648 1604.849082487954
0 174.0 1419.068822112116 1556.3465621844593
0 176.0 1432.9983470998782 1507.6237890729108
0 178.0 1429.1825121031952 1457.6231362198394
0 180.0 1425.3666771065118 1407.622483366768
0 182.0 1421.5508421098286 1357.6218305136965
0 184.0 1417.7350071131455 1307.621177660625
0 186.0 1413.9191721164625 1257.6205248075535
0 188.0 1410.103337119779 1207.6198719544823
0 190.0 1406.2875021230961 1157.6192191014106
0 192.0 1402.4716671264127 1107.6185662483392
0 194.0 1398.6558321297298 1057.6179133952678
0 196.0 1389.3904350513849 1019.8077250264145
0 198.0 1348.5073480745077 1052.7251143978185
0 200.0 1307.6242610976303 1085.6425037692225
0 202.0 1266.7411741207532 1118.5598931406264
0 204.0 1225.858087143876 1151.4772825120306
0 206.0 1184.9750001669988 1184.3946718834345
0 208.0 1144.0919131901214 1217.3120612548387
0 210.0 1103.2088262132443 1250.2294506262424
0 212.0 1062.325739236367 1283.1468399976466
0 214.0 1021.4426522594897 1316.0642293690505
0 216.0 983.0833535423337 1337.086502803009
0 218.0 959.3667643437902 1289.094774491241
0 220.0 935.6501751452469 1241.1030461794728
0 222.0 911.9335859467033 1193.1113178677047
0 224.0 888.2169967481598 1145.1195895559365
0 226.0 864.5004075496163 1097.1278612441686
0 228.0 840.7838183510729 1049.1361329324004
0 230.0 817.0672291525295 1001.1444046206323
0 232.0 793.350639953986 953.1526763088641
0 234.0 769.6340507554426 905.1609479970961
0 236.0 745.5083788607855 872.2742885674611
0 238.0 719.0092594056171 927.0253836316031
0 240.0 692.5101399504488 981.7764786957448
0 242.0 666.0110204952803 1036.5275737598868
0 244.0 639.5119010401119 1091.2786688240285
0 246.0 613.0127815849435 1146.0297638881702
0 248.0 586.5136621297751 1200.7808589523122
0 250.0 560.0145426746067 1255.531954016454
0 252.0 533.5154232194383 1310.283049080596
0 254.0 507.0163037642698 1365.0341441447376
0 256.0 483.6133653373948 1403.2135282072222
0 258.0 478.1740889727678 1345.2458803272307
0 260.0 472.7348126081407 1287.2782324472394
0 262.0 467.29553624351365 1229.310584567248
0 264.0 461.8562598788866 1171.3429366872567
0 266.0 456.4169835142595 1113.3752888072654
0 268.0 450.9777071496324 1055.407640927274
0 270.0 445.53843078500535 997.4399930472828
0 272.0 440.0991544203783 939.4723451672915
0 274.0 434.6598780557512 881.5046972873001
0 276.0 422.83443889664557 825.8064584320889
0 278.0 373.957267533836 783.2750520164632
0 280.0 325.08009617102647 740.7436456008375
0 282.0 276.2029248082169 698.2122391852117
0 284.0 227.32575344540737 655.6808327695861
0 286.0 178.44858208259777 613.1494263539604
0 288.0 129.57141071978822 570.6180199383348
0 290.0 80.69423935697867 528.0866135227091
0 292.0 31.81706799416913 485.5552071070834
0 294.0 15.166701984704035 444.6713801548916
0 296.0 58.61928113364967 406.8602865080698
0 298.0 102.07186028259531 369.049192861248
0 300.0 145.52443943154094 331.23809921442614
0 302.0 188.97701858048657 293.4270055676043
0 304.0 232.42959772943223 255.61591192078242
0 306.0 275.88217687837783 217.8048182739606
0 308.0 319.33475602732346 179.99372462713876
0 310.0 362.7873351762691 142.1826309803169
0 312.0 406.2399143252148 104.37153733349504
0 314.0 412.46962291196957 74.5715053690166
0 316.0 349.2787319851025 59.71209180202886
0 318.0 286.0878410582355 44.85267823504112
0 320.0 222.89695013136838 29.993264668053367
0 322.0 159.7060592045013 15.13385110106562
0 324.0 96.51516827763423 0.2744375340778733
0 326.0 37.80122015714851 13.532217578328794
0 328.0 22.72490175292778 27.765007524408652
0 330.0 86.69278876417816 42.80713264979402
0 332.0 150.6606757754285 57.84925777517938
0 334.0 214.62856278667888 72.89138290056475
0 336.0 278.59644979792927 87.93350802595012
0 338.0 342.5643368091796 102.97563315133547
0 340.0 406.53222382043 118.01775827672084
0 342.0 470.5001108316804 133.0598834021062
0 344.0 534.4679978429307 148.10200852749156
0 346.0 598.435884854181 163.14413365287695
0 348.0 614.8166319634155 172.3147054265154
0 350.0 544.8323980134151 170.82910843153186
0 352.0 474.8481640634147 169.34351143654834
0 354.0 404.8639301134143 167.8579144415648
